lat,lon,type,title,link
,,spa,L'empire Hammam & Spa Tanger,https://www.google.com/maps/place/L%27empire+Hammam+%26+Spa+Tanger/data=!4m7!3m6!1s0xd0c7f115dbd3945:0xe7742ac7f1ab5b2a!8m2!3d35.7788197!4d-5.8054118!16s%2Fg%2F11t_w2y1_d!19sChIJRTm9XRF_DA0RKlur8ccqdOc?authuser=0&hl=fr&rclk=1
,,spa,Maxula.ma,https://www.google.com/maps/place/Maxula.ma/data=!4m7!3m6!1s0xd0c7f589948d6b5:0x580feefddddc6e2f!8m2!3d35.7762328!4d-5.7999972!16s%2Fg%2F11cn0sp15v!19sChIJtdZImVh_DA0RL27c3f3uD1g?authuser=0&hl=fr&rclk=1
,,spa,Anaïs Beauty & Spa,https://www.google.com/maps/place/Ana%C3%AFs+Beauty+%26+Spa/data=!4m7!3m6!1s0xd0c7f734c41b1f3:0x36de90ab7178ed2a!8m2!3d35.7782346!4d-5.8017847!16s%2Fg%2F11t9tvl0xn!19sChIJ87FBTHN_DA0RKu14cauQ3jY?authuser=0&hl=fr&rclk=1
,,spa,Quintessence Spa,https://www.google.com/maps/place/Quintessence+Spa/data=!4m7!3m6!1s0xd0b80a8eb0c70fd:0xdaa002542025092a!8m2!3d35.7714958!4d-5.8052837!16s%2Fg%2F11bydmbl01!19sChIJ_XAM66iACw0RKgklIFQCoNo?authuser=0&hl=fr&rclk=1
,,spa,Best SPA Tanger,https://www.google.com/maps/place/Best+SPA+Tanger/data=!4m7!3m6!1s0xd0b818b6c090e37:0xfb7ff628e1fd8c33!8m2!3d35.7804942!4d-5.8058874!16s%2Fg%2F11h713pg9x!19sChIJNw4JbIuBCw0RM4z94Sj2f_s?authuser=0&hl=fr&rclk=1
,,spa,Spa 5 Étoiles beauty and care,https://www.google.com/maps/place/Spa+5+%C3%89toiles+beauty+and+care/data=!4m7!3m6!1s0xd0c7f57a20aaa0b:0xd5fc23eda988deff!8m2!3d35.777658!4d-5.8049031!16s%2Fg%2F11c0qgcnnz!19sChIJC6oKold_DA0R_96Iqe0j_NU?authuser=0&hl=fr&rclk=1
,,spa,Bangkok Thai Massage Tanger,https://www.google.com/maps/place/Bangkok+Thai+Massage+Tanger/data=!4m7!3m6!1s0xd0c7f58ed26c6cf:0x7e20215f7bf01ef1!8m2!3d35.7746484!4d-5.7896291!16s%2Fg%2F11jq_wpfr4!19sChIJz8Ym7Vh_DA0R8R7we18hIH4?authuser=0&hl=fr&rclk=1
,,spa,Baan Thaï,https://www.google.com/maps/place/Baan+Tha%C3%AF/data=!4m7!3m6!1s0xd0b81041587210b:0x3a0255b060c044f3!8m2!3d35.770948!4d-5.8044163!16s%2Fg%2F11h8817wxr!19sChIJCyGHFQSBCw0R80TAYLBVAjo?authuser=0&hl=fr&rclk=1
,,spa,OMNI SPA,https://www.google.com/maps/place/OMNI+SPA/data=!4m7!3m6!1s0xd0b81b5bf7ce9f7:0x6473f77d1a78769a!8m2!3d35.7729641!4d-5.8093467!16s%2Fg%2F11qbtf2rb9!19sChIJ9-l8v7WBCw0RmnZ4Gn33c2Q?authuser=0&hl=fr&rclk=1
,,spa,Nissyma,https://www.google.com/maps/place/Nissyma/data=!4m7!3m6!1s0xd0b81756e7e8873:0x9c6281701343d57f!8m2!3d35.7730429!4d-5.8092568!16s%2Fg%2F11h3ftcgsd!19sChIJc4h-bnWBCw0Rf9VDE3CBYpw?authuser=0&hl=fr&rclk=1
,,spa,Soma Beauty by Mona (Spa femmes tanger),https://www.google.com/maps/place/Soma+Beauty+by+Mona+%28Spa+femmes+tanger%29/data=!4m7!3m6!1s0xd0c79f87ee9426f:0xbf98ee10b951488d!8m2!3d35.7829352!4d-5.8211488!16s%2Fg%2F11t9jxx1bf!19sChIJb0Lpfvh5DA0RjUhRuRDumL8?authuser=0&hl=fr&rclk=1
,,spa,Kamakura Spa,https://www.google.com/maps/place/Kamakura+Spa/data=!4m7!3m6!1s0xd0c7f538f3bd18f:0x7a1806d73a2d68a8!8m2!3d35.7809003!4d-5.8109386!16s%2Fg%2F11gfgsp8bl!19sChIJj9E7j1N_DA0RqGgtOtcGGHo?authuser=0&hl=fr&rclk=1
,,spa,Spa Simo Tanger,https://www.google.com/maps/place/Spa+Simo+Tanger/data=!4m7!3m6!1s0xd0b80aa6d40fe97:0x617dbad38abbd7bd!8m2!3d35.7742801!4d-5.8105418!16s%2Fg%2F11b8_m2xpt!19sChIJl_5AbaqACw0Rvde7itO6fWE?authuser=0&hl=fr&rclk=1
,,spa,LA JOIE,https://www.google.com/maps/place/LA+JOIE/data=!4m7!3m6!1s0xd0b8747bc653a71:0x812d810fc88d5e5d!8m2!3d35.7603937!4d-5.8401145!16s%2Fg%2F11h5qpz0sy!19sChIJcTplvEeHCw0RXV6NyA-BLYE?authuser=0&hl=fr&rclk=1
,,spa,Cristal spa,https://www.google.com/maps/place/Cristal+spa/data=!4m7!3m6!1s0xd0b87be9bf8eb95:0x594f9b74a9cb7c13!8m2!3d35.7646637!4d-5.8367679!16s%2Fg%2F11sgn7g9m9!19sChIJlev4m76HCw0RE3zLqXSbT1k?authuser=0&hl=fr&rclk=1
