lat,lon,type,title,link
,,voyage,WLD BATUTA,https://www.google.com/maps/place/WLD+BATUTA/data=!4m7!3m6!1s0xd0b87f8cda1b3ef:0x945d811602426797!8m2!3d35.7553341!4d-5.7946619!16s%2Fg%2F11rtsdxgdq!19sChIJ77OhzfiHCw0Rl2dCAhaBXZQ?authuser=0&hl=fr&rclk=1
,,voyage,Hispamaroc,https://www.google.com/maps/place/Hispamaroc/data=!4m7!3m6!1s0xd0c7f53fedaa8cd:0x76e2780a35e38326!8m2!3d35.7799246!4d-5.8085963!16s%2Fg%2F11b6jh45l0!19sChIJzaja_lN_DA0RJoPjNQp44nY?authuser=0&hl=fr&rclk=1
,,voyage,Atlas Voyages,https://www.google.com/maps/place/Atlas+Voyages/data=!4m7!3m6!1s0xd0c789962975f19:0xddb2fc56b934627e!8m2!3d35.78103!4d-5.840617!16s%2Fg%2F11c0qxw0q1!19sChIJGV-XYpl4DA0RfmI0uVb8st0?authuser=0&hl=fr&rclk=1
,,voyage,MI SARI TOURS,https://www.google.com/maps/place/MI+SARI+TOURS/data=!4m7!3m6!1s0xd0b87559cd47829:0x23130214761afd50!8m2!3d35.7746939!4d-5.8101261!16s%2Fg%2F11b6hw_23h!19sChIJKXjUnFWHCw0RUP0adhQCEyM?authuser=0&hl=fr&rclk=1
,,voyage,Authentik Traveller Maroc,https://www.google.com/maps/place/Authentik+Traveller+Maroc/data=!4m7!3m6!1s0xd0b80d60fa301c5:0x54921d9b24d2e858!8m2!3d35.7322651!4d-5.8076474!16s%2Fg%2F11gbzb0hw0!19sChIJxQGjD9aACw0RWOjSJJsdklQ?authuser=0&hl=fr&rclk=1
,,voyage,VIP AFRICA,https://www.google.com/maps/place/VIP+AFRICA/data=!4m7!3m6!1s0xd0b874242442821:0x1b2ffdea926053f2!8m2!3d35.7739361!4d-5.799737!16s%2Fg%2F11bztfr0v5!19sChIJIShEQkKHCw0R8lNgkur9Lxs?authuser=0&hl=fr&rclk=1
,,voyage,Assa tours,https://www.google.com/maps/place/Assa+tours/data=!4m7!3m6!1s0xd0b871f7e6c2663:0x9238dca6be521781!8m2!3d35.758113!4d-5.8153969!16s%2Fg%2F11s4c21gxv!19sChIJYyZsfh-HCw0RgRdSvqbcOJI?authuser=0&hl=fr&rclk=1
,,voyage,Tokyo messagère,https://www.google.com/maps/place/Tokyo+messag%C3%A8re/data=!4m7!3m6!1s0xd0b816e0f1a9c25:0x5dca7b19581b8f47!8m2!3d35.766367!4d-5.8089273!16s%2Fg%2F11l8tsdt9p!19sChIJJZwaD26BCw0RR48bWBl7yl0?authuser=0&hl=fr&rclk=1
,,voyage,Gulliver,https://www.google.com/maps/place/Gulliver/data=!4m7!3m6!1s0xd0c7f52e7b8bcdd:0xbe1945256fa841!8m2!3d35.777159!4d-5.808187!16s%2Fg%2F11b6h_c_sy!19sChIJ3by451J_DA0RQahvJUUZvgA?authuser=0&hl=fr&rclk=1
,,voyage,Nejme chamal tanger bokhalaf,https://www.google.com/maps/place/Nejme+chamal+tanger+bokhalaf/data=!4m7!3m6!1s0xd0b87ac030e76fb:0x5b04fea71fd3621!8m2!3d35.7297197!4d-5.8798306!16s%2Fg%2F11hz15zlds!19sChIJ-3YOA6yHCw0RITb9cepPsAU?authuser=0&hl=fr&rclk=1
,,voyage,Voyage Inter Bus,https://www.google.com/maps/place/Voyage+Inter+Bus/data=!4m7!3m6!1s0xd0b87d6dfc0e06b:0x258dc8edb842675!8m2!3d35.7555587!4d-5.827889!16s%2Fg%2F11fmc72s2h!19sChIJa-DA39aHCw0RdSaE247cWAI?authuser=0&hl=fr&rclk=1
,,voyage,stars voyage,https://www.google.com/maps/place/stars+voyage/data=!4m7!3m6!1s0xd0b81b88e856371:0xa9ea718f11d31fc8!8m2!3d35.7528071!4d-5.8078002!16s%2Fg%2F11sfqgpb_v!19sChIJcWOFjriBCw0RyB_TEY9x6qk?authuser=0&hl=fr&rclk=1
,,voyage,L'ETOILE DE MARIA,https://www.google.com/maps/place/L%27ETOILE+DE+MARIA/data=!4m7!3m6!1s0xd0b8100acfb4e89:0x6222024526d02d18!8m2!3d35.7595063!4d-5.7926932!16s%2Fg%2F11h92xz_sv!19sChIJiU77rACBCw0RGC3QJkUCImI?authuser=0&hl=fr&rclk=1
